game_id,team_id,team_abbreviation,team_city,player_id,player_name,start_position,comment,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_tov,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,poss,pie,start
21900002,1610612746,LAC,LA,1629010,Jerome Robinson,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,False
21900002,1610612747,LAL,Los Angeles,201980,Danny Green,G,,32:19,107.8,110.3,104.7,101.5,3.0,8.8,0.0,0.0,0.0,0.031,0.194,0.111,0.0,0.964,0.97,0.182,0.188,99.89,100.24,83.54,68,0.267,True
21900002,1610612747,LAL,Los Angeles,202340,Avery Bradley,G,,24:02,91.1,93.9,99.4,94.0,-8.4,-0.1,0.0,0.0,0.0,0.0,0.136,0.067,22.2,0.571,0.571,0.17,0.171,97.66,98.86,82.39,49,0.028,True
21900002,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,,,27:24,114.3,111.9,134.7,125.4,-20.4,-13.6,0.125,3.0,42.9,0.0,0.125,0.057,14.3,0.0,0.0,0.058,0.062,98.68,103.38,86.15,59,-0.025,False
21900002,1610612747,LAL,Los Angeles,2730,Dwight Howard,,,19:02,122.2,127.8,139.7,127.0,-17.5,0.8,0.059,0.0,25.0,0.143,0.2,0.167,0.0,0.333,0.436,0.068,0.069,89.88,92.05,76.71,36,0.038,False
21900002,1610612747,LAL,Los Angeles,203584,Troy Daniels,,,16:14,88.1,84.4,134.4,129.0,-46.3,-44.7,0.125,1.0,12.5,0.0,0.0,0.0,12.5,0.417,0.466,0.206,0.221,89.3,93.14,77.62,32,0.018,False
21900002,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,16:56,108.2,111.1,145.3,140.0,-37.1,-28.9,0.167,2.0,20.0,0.0,0.071,0.029,10.0,0.286,0.286,0.182,0.191,100.18,100.63,83.86,36,0.013,False
21900002,1610612747,LAL,Los Angeles,201162,Jared Dudley,,,13:21,81.1,84.0,161.9,164.0,-80.8,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.065,0.067,92.04,89.89,74.91,25,0.067,False
21900002,1610612747,LAL,Los Angeles,1628961,Kostas Antetokounmpo,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,False
21900002,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,False
21900002,1610612747,LAL,Los Angeles,1629668,Zach Norvell Jr.,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,False
21900002,1610612746,LAC,LA,202695,Kawhi Leonard,F,,31:33,119.8,113.6,113.2,107.7,6.6,5.9,0.278,0.83,14.7,0.042,0.161,0.109,17.6,0.553,0.641,0.408,0.429,94.66,99.65,83.04,66,0.168,True
21900002,1610612746,LAC,LA,202335,Patrick Patterson,F,,17:29,108.7,105.6,109.9,114.3,-1.2,-8.7,0.0,0.0,0.0,0.067,0.111,0.091,0.0,0.5,0.515,0.103,0.105,97.96,97.46,81.22,36,0.025,True
21900002,1610612746,LAC,LA,1627826,Ivica Zubac,C,,9:38,97.7,100.0,129.6,120.0,-31.9,-20.0,0.0,0.0,0.0,0.143,0.0,0.063,0.0,1.0,1.0,0.2,0.196,94.51,97.1,80.91,19,0.173,True
21900002,1610612746,LAC,LA,1629013,Landry Shamet,G,,26:27,109.8,103.5,105.8,107.1,4.0,-3.6,0.095,0.0,20.0,0.0,0.115,0.063,0.0,0.5,0.5,0.133,0.141,100.23,102.55,85.46,57,0.073,True
21900002,1610612746,LAC,LA,201976,Patrick Beverley,G,,31:21,125.5,120.0,98.6,100.0,26.9,20.0,0.207,3.0,40.0,0.074,0.276,0.179,13.3,0.143,0.143,0.122,0.126,98.04,99.51,82.93,65,0.048,True
21900002,1610612746,LAC,LA,1626149,Montrezl Harrell,,,38:22,123.8,119.2,95.4,98.7,28.4,20.5,0.148,1.33,19.0,0.056,0.122,0.091,14.3,0.636,0.585,0.193,0.2,98.13,98.23,81.86,78,0.099,False
21900002,1610612746,LAC,LA,101150,Lou Williams,,,36:43,123.8,121.6,99.2,102.7,24.6,19.0,0.28,3.5,28.0,0.029,0.098,0.066,8.0,0.607,0.666,0.214,0.218,98.22,97.38,81.15,74,0.195,False
21900002,1610612746,LAC,LA,203210,JaMychal Green,,,19:17,109.3,100.0,90.8,87.8,18.5,12.2,0.0,0.0,0.0,0.05,0.217,0.14,11.1,0.75,0.75,0.196,0.212,96.06,102.08,85.07,41,0.147,False
21900002,1610612746,LAC,LA,203090,Maurice Harkless,,,29:10,122.7,117.5,95.5,101.7,27.2,15.8,0.0,0.0,0.0,0.069,0.063,0.066,0.0,0.714,0.714,0.106,0.11,96.64,95.45,79.54,57,0.102,False
21900002,1610612746,LAC,LA,1629662,Mfiondu Kabengele,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,False
21900002,1610612746,LAC,LA,1629611,Terance Mann,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,False
21900002,1610612747,LAL,Los Angeles,201580,JaVale McGee,C,,17:21,93.1,97.1,96.6,91.9,-3.5,5.3,0.0,0.0,0.0,0.059,0.067,0.063,25.0,0.667,0.667,0.103,0.104,99.23,99.62,83.01,35,0.079,True
21900002,1610612747,LAL,Los Angeles,2544,LeBron James,F,,36:00,95.5,94.7,110.6,105.3,-15.0,-10.5,0.444,1.6,23.5,0.026,0.273,0.139,14.7,0.395,0.434,0.302,0.316,98.48,101.33,84.44,76,0.135,True
21900002,1610612747,LAL,Los Angeles,203076,Anthony Davis,F,,37:21,103.3,106.4,105.7,102.6,-2.4,3.8,0.227,1.67,14.3,0.081,0.154,0.118,8.6,0.381,0.46,0.345,0.347,100.26,100.23,83.53,78,0.126,True
21900002,1610612746,LAC,LA,1628405,Johnathan Motley,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,,False
